,id,dateCreated,likes,dislikes,rating,viewCount,deleted,channel
20,y7yt-sN0xQQ,2023-06-26T07:19:49.102347Z,21368,248,4.954108068097705,1073835,False,TheMrMobile
21,43J5QEF5w8Y,2023-06-26T12:11:19.60473Z,14507,135,4.96311979237809,384099,False,TheMrMobile
22,nyqLDtEkiVM,2023-06-26T13:52:42.391777Z,12893,163,4.950061274509804,264339,False,TheMrMobile
23,p59yvdKR9EQ,2023-06-26T12:51:22.551728Z,7262,77,4.958032429486306,161880,False,TheMrMobile
24,pAr03rCugp0,2023-06-25T20:02:32.653713Z,6687,102,4.939902783915157,163324,False,TheMrMobile
25,NUICI4VSyiI,2023-06-26T14:50:56.506967Z,15524,216,4.945108005082592,426938,False,TheMrMobile
26,TnOJHCdgd58,2023-06-26T02:00:59.063136Z,12420,101,4.9677342065330246,273342,False,TheMrMobile
27,j8uH-uDfk4o,2023-06-26T00:05:17.780913Z,14408,218,4.940380144947354,343921,False,TheMrMobile
28,_xMWo14KXfM,2023-06-26T14:41:02.569394Z,20388,194,4.962297152852007,444830,False,TheMrMobile
29,rMpe_hqSQUs,2023-06-26T13:46:15.882537Z,22696,280,4.951253481894151,462506,False,TheMrMobile
30,4FaQiM-Mex8,2023-06-26T09:13:04.175769Z,14633,168,4.954597662320113,414873,False,TheMrMobile
31,zrRlCVYL3nk,2023-06-26T05:03:23.481675Z,15115,457,4.882609812483945,315387,False,TheMrMobile
32,W48PuUonFjg,2023-06-26T10:49:49.15802Z,8947,85,4.962356067316209,226767,False,TheMrMobile
33,Q-qqtS-tqbI,2023-06-26T10:42:03.48387Z,15674,181,4.954336171554715,453421,False,TheMrMobile
34,hCr0aQKDfFM,2023-06-26T11:17:25.842194Z,14253,97,4.9729616724738674,389692,False,TheMrMobile
35,fuDmJUXOmdU,2023-06-26T12:27:00.678152Z,20390,194,4.962300816167898,651184,False,TheMrMobile
36,UFh_m7R8pk4,2023-06-25T17:54:02.0844Z,7624,69,4.964123228909398,187546,False,TheMrMobile
37,MkHRA11OP6s,2023-06-25T17:54:03.013441Z,14409,438,4.881996362901596,341034,False,TheMrMobile
38,LGqymw5shCw,2023-06-26T11:48:25.667373Z,14119,97,4.972706809229038,281644,False,TheMrMobile
39,5Fba3Arhv4Y,2023-06-26T09:20:12.544334Z,9066,71,4.968917587829703,155518,False,TheMrMobile
40,mue6Did6fkA,2023-06-25T23:52:41.288675Z,7254,61,4.966643882433356,172739,False,TheMrMobile
41,S5QY-6kfE6Q,2023-06-26T11:15:41.696828Z,8651,104,4.952484294688749,175820,False,TheMrMobile
42,HfpTh8NPmw0,2023-06-26T04:15:24.93268Z,19611,154,4.9688337971161145,531010,False,TheMrMobile
43,T3EN05faZVU,2023-06-26T07:40:27.407976Z,12042,78,4.974257425742574,229579,False,TheMrMobile
44,gALcE-kz6Vc,2023-06-25T12:29:22.585092Z,13396,175,4.948419423771277,262568,False,TheMrMobile
45,jZPL58rofPA,2023-06-26T03:36:13.501054Z,9269,114,4.9514014707449645,186182,False,TheMrMobile
46,q0vll4TLgC8,2023-06-26T06:33:34.510531Z,14230,163,4.954700201486834,359692,False,TheMrMobile
47,boxUXgXQb34,2023-06-26T12:58:10.345676Z,17061,192,4.955486002434359,396849,False,TheMrMobile
48,-OG00IBi3FM,2023-06-25T17:54:13.300589Z,10896,111,4.9596620332515675,194795,False,TheMrMobile
49,zcFAkUIkHg8,2023-06-26T00:24:59.690837Z,15652,171,4.956771787903684,443521,False,TheMrMobile
50,7WjuMTEKuQw,2023-06-26T11:45:34.986276Z,13777,125,4.96403395194936,438680,False,TheMrMobile
51,lren-G4h84o,2023-06-26T13:30:55.808077Z,20719,341,4.935232668566002,544537,False,TheMrMobile
52,drB7GfqHWGs,2023-06-26T07:40:11.309712Z,15919,73,4.9817408704352175,374549,False,TheMrMobile
53,Nfni8UTAyG0,2023-06-26T12:41:11.9601Z,20534,287,4.944863359108592,584683,False,TheMrMobile
54,3wrtAbZRflA,2023-06-25T17:54:18.754655Z,14402,191,4.947646131706983,353246,False,TheMrMobile
55,54BMwy8J-0Y,2022-04-09T13:26:57.550767Z,15039,275,4.928170301684733,306323,False,TheMrMobile
56,Tx6GqiSipy8,2022-04-09T21:26:27.105113Z,19640,305,4.938831787415392,436131,False,TheMrMobile
57,k4L-KFH4ZA8,2022-04-09T17:44:24.575921Z,18271,159,4.965491047205643,443246,False,TheMrMobile
58,skIgG8q_lKs,2022-04-09T16:24:11.534445Z,12708,163,4.949343485354674,289140,False,TheMrMobile
59,P-s5orTonkA,2022-04-09T19:11:17.658492Z,12546,258,4.919400187441425,305064,False,TheMrMobile
60,MB5fDulexjo,2022-04-09T21:06:26.328151Z,19502,251,4.949172277628715,486208,False,TheMrMobile
61,nCov8HzM1WE,2022-04-09T19:37:37.530025Z,13869,212,4.939777004474114,328219,False,TheMrMobile
62,ySGMs8ICIYc,2022-04-09T02:55:37.396834Z,7904,126,4.937235367372353,174947,False,TheMrMobile
63,q6H4oLN442Y,2022-04-09T21:17:49.809054Z,15138,266,4.930927031939756,293100,False,TheMrMobile
64,zgJsAyLcB34,2022-04-09T20:39:33.790574Z,13365,120,4.96440489432703,273243,False,TheMrMobile
65,PQHn4Dk7wqc,2022-04-09T15:33:26.142636Z,12403,169,4.946229716831053,242270,False,TheMrMobile
66,lDlt4TXIoBQ,2022-04-09T14:59:21.084005Z,12456,353,4.889765008978062,387753,False,TheMrMobile
67,Z98qbJQAzs8,2022-04-09T18:35:19.211057Z,31382,489,4.938627592482193,938743,False,TheMrMobile
68,6Jhwrp-6s2U,2022-04-08T05:44:45.262724Z,12530,296,4.907687509745829,289482,False,TheMrMobile
69,lwUkvKyGh-Y,2022-04-09T13:41:37.506444Z,8563,126,4.941995626654391,176378,False,TheMrMobile
70,o-rKlHJWk9E,2022-04-09T21:37:24.375162Z,21712,296,4.946201381315885,521265,False,TheMrMobile
71,UVhvFKuxDy4,2022-04-09T19:09:27.45654Z,15966,320,4.9214048876335506,430181,False,TheMrMobile
72,PAJyA4pZwbs,2022-04-09T06:19:54.369934Z,17337,473,4.893767546322291,354896,False,TheMrMobile
73,9WASn5j_Xxk,2022-04-09T21:08:15.798645Z,14546,218,4.940937415334598,691404,False,TheMrMobile
74,hmJJvzrGODk,2022-04-09T19:39:25.415481Z,11731,108,4.963510431624292,219152,False,TheMrMobile
75,v8mv42uzJHA,2022-04-09T14:32:47.46675Z,19452,414,4.916641498036847,795463,False,TheMrMobile
76,wrm_VWsmMS4,2022-04-09T19:36:57.095365Z,24629,563,4.910606541759289,802329,False,TheMrMobile
77,pw9-TFatP60,2022-04-09T21:13:51.556806Z,28651,427,4.9412614347616755,888478,False,TheMrMobile
78,ZMq__sc1Xhk,2022-04-09T20:46:21.120515Z,13804,211,4.93977880841955,338375,False,TheMrMobile
79,TK-ZzMvAO9c,2022-03-19T20:40:18.125229Z,16160,249,4.939301602778963,334162,False,TheMrMobile
80,VsSZ2XcBa3c,2022-04-09T07:22:41.601138Z,6876,74,4.957410071942446,152577,False,TheMrMobile
81,z8ziMxd5mhE,2022-04-08T09:23:19.066586Z,9490,129,4.94635617008005,189926,False,TheMrMobile
82,MZdmG3zoOwE,2022-04-09T15:19:31.878983Z,10105,216,4.916287181474663,348695,False,TheMrMobile
83,DzLtOh9Pd0g,2022-04-09T19:50:45.581941Z,14940,390,4.898238747553816,402891,False,TheMrMobile
84,XnHJhBNpWb4,2022-04-09T20:49:34.574639Z,16667,210,4.950228121111572,342647,False,TheMrMobile
